line_cd,line_name,stations,bbox,station_pixels
11101,JR函館本線(函館～長万部),"[(1110101, '函館'), (1110102, '五稜郭'), (1110103, '桔梗'), (1110104, '大中山'), (1110105, '七飯'), (1110106, '新函館北斗'), (1110107, '仁山'), (1110108, '大沼'), (1110109, '大沼公園'), (1110110, '赤井川'), (1110111, '駒ケ岳'), (1110112, '東山'), (1110113, '姫川'), (1110114, '池田園'), (1110115, '流山温泉'), (1110116, '銚子口'), (1110117, '鹿部'), (1110118, '渡島沼尻'), (1110119, '渡島砂原'), (1110120, '掛澗'), (1110121, '尾白内'), (1110122, '東森'), (1110123, '森'), (1110124, '桂川'), (1110125, '石谷'), (1110126, '本石倉'), (1110127, '石倉'), (1110128, '落部'), (1110129, '野田生'), (1110130, '山越'), (1110131, '八雲'), (1110132, '鷲ノ巣'), (1110133, '山崎'), (1110134, '黒岩'), (1110135, '北豊津'), (1110136, '国縫'), (1110137, '中ノ沢'), (1110138, '長万部')]","436.707,112.741,448.212,136.065","[{'station_cd': 1110101, 'x': 85, 'y': 122}, {'station_cd': 1110102, 'x': 86, 'y': 117}, {'station_cd': 1110103, 'x': 85, 'y': 111}, {'station_cd': 1110104, 'x': 84, 'y': 108}, {'station_cd': 1110105, 'x': 82, 'y': 104}, {'station_cd': 1110106, 'x': 77, 'y': 101}, {'station_cd': 1110107, 'x': 76, 'y': 97}, {'station_cd': 1110108, 'x': 80, 'y': 91}, {'station_cd': 1110109, 'x': 80, 'y': 90}, {'station_cd': 1110110, 'x': 77, 'y': 86}, {'station_cd': 1110111, 'x': 74, 'y': 81}, {'station_cd': 1110112, 'x': 73, 'y': 77}, {'station_cd': 1110113, 'x': 72, 'y': 74}, {'station_cd': 1110114, 'x': 83, 'y': 89}, {'station_cd': 1110115, 'x': 85, 'y': 87}, {'station_cd': 1110116, 'x': 86, 'y': 85}, {'station_cd': 1110117, 'x': 91, 'y': 78}, {'station_cd': 1110118, 'x': 89, 'y': 71}, {'station_cd': 1110119, 'x': 82, 'y': 69}, {'station_cd': 1110120, 'x': 78, 'y': 69}, {'station_cd': 1110121, 'x': 74, 'y': 70}, {'station_cd': 1110122, 'x': 72, 'y': 70}, {'station_cd': 1110123, 'x': 70, 'y': 70}, {'station_cd': 1110124, 'x': 66, 'y': 68}, {'station_cd': 1110125, 'x': 62, 'y': 65}, {'station_cd': 1110126, 'x': 59, 'y': 61}, {'station_cd': 1110127, 'x': 57, 'y': 59}, {'station_cd': 1110128, 'x': 53, 'y': 56}, {'station_cd': 1110129, 'x': 48, 'y': 52}, {'station_cd': 1110130, 'x': 43, 'y': 49}, {'station_cd': 1110131, 'x': 37, 'y': 45}, {'station_cd': 1110132, 'x': 37, 'y': 42}, {'station_cd': 1110133, 'x': 37, 'y': 36}, {'station_cd': 1110134, 'x': 39, 'y': 28}, {'station_cd': 1110135, 'x': 40, 'y': 23}, {'station_cd': 1110136, 'x': 43, 'y': 17}, {'station_cd': 1110137, 'x': 46, 'y': 12}, {'station_cd': 1110138, 'x': 49, 'y': 7}]"
11102,JR函館本線(長万部～小樽),"[(1110201, '長万部'), (1110202, '二股'), (1110203, '蕨岱'), (1110204, '黒松内'), (1110205, '熱郛'), (1110206, '目名'), (1110207, '蘭越'), (1110208, '昆布'), (1110209, 'ニセコ'), (1110210, '比羅夫'), (1110211, '倶知安'), (1110212, '小沢'), (1110213, '銀山'), (1110214, '然別'), (1110215, '仁木'), (1110216, '余市'), (1110217, '蘭島'), (1110218, '塩谷'), (1110219, '小樽')]","437.655,93.663,453.238,115.766","[{'station_cd': 1110201, 'x': 31, 'y': 117}, {'station_cd': 1110202, 'x': 25, 'y': 107}, {'station_cd': 1110203, 'x': 24, 'y': 99}, {'station_cd': 1110204, 'x': 23, 'y': 92}, {'station_cd': 1110205, 'x': 32, 'y': 91}, {'station_cd': 1110206, 'x': 42, 'y': 78}, {'station_cd': 1110207, 'x': 50, 'y': 72}, {'station_cd': 1110208, 'x': 58, 'y': 73}, {'station_cd': 1110209, 'x': 68, 'y': 72}, {'station_cd': 1110210, 'x': 72, 'y': 66}, {'station_cd': 1110211, 'x': 75, 'y': 58}, {'station_cd': 1110212, 'x': 68, 'y': 46}, {'station_cd': 1110213, 'x': 72, 'y': 35}, {'station_cd': 1110214, 'x': 75, 'y': 22}, {'station_cd': 1110215, 'x': 79, 'y': 17}, {'station_cd': 1110216, 'x': 82, 'y': 12}, {'station_cd': 1110217, 'x': 89, 'y': 11}, {'station_cd': 1110218, 'x': 97, 'y': 11}, {'station_cd': 1110219, 'x': 105, 'y': 12}]"
11103,JR函館本線(小樽～旭川),"[(1110301, '小樽'), (1110302, '南小樽'), (1110303, '小樽築港'), (1110304, '朝里'), (1110305, '銭函'), (1110306, 'ほしみ'), (1110307, '星置'), (1110308, '稲穂'), (1110309, '手稲'), (1110310, '稲積公園'), (1110311, '発寒'), (1110312, '発寒中央'), (1110313, '琴似'), (1110314, '桑園'), (1110315, '札幌'), (1110316, '苗穂'), (1110317, '白石'), (1110318, '厚別'), (1110319, '森林公園'), (1110320, '大麻'), (1110321, '野幌'), (1110322, '高砂'), (1110323, '江別'), (1110324, '豊幌'), (1110325, '幌向'), (1110326, '上幌向'), (1110327, '岩見沢'), (1110328, '峰延'), (1110329, '光珠内'), (1110330, '美唄'), (1110331, '茶志内'), (1110332, '奈井江'), (1110333, '豊沼'), (1110334, '砂川'), (1110335, '滝川'), (1110336, '江部乙'), (1110337, '妹背牛'), (1110338, '深川'), (1110339, '納内'), (1110340, '伊納'), (1110341, '近文'), (1110342, '旭川')]","451.054,78.141,481.565,102.885","[{'station_cd': 1110301, 'x': 6, 'y': 86}, {'station_cd': 1110302, 'x': 7, 'y': 87}, {'station_cd': 1110303, 'x': 9, 'y': 88}, {'station_cd': 1110304, 'x': 12, 'y': 89}, {'station_cd': 1110305, 'x': 20, 'y': 93}, {'station_cd': 1110306, 'x': 23, 'y': 94}, {'station_cd': 1110307, 'x': 24, 'y': 95}, {'station_cd': 1110308, 'x': 25, 'y': 95}, {'station_cd': 1110309, 'x': 27, 'y': 96}, {'station_cd': 1110310, 'x': 28, 'y': 97}, {'station_cd': 1110311, 'x': 30, 'y': 99}, {'station_cd': 1110312, 'x': 31, 'y': 100}, {'station_cd': 1110313, 'x': 32, 'y': 101}, {'station_cd': 1110314, 'x': 34, 'y': 102}, {'station_cd': 1110315, 'x': 36, 'y': 103}, {'station_cd': 1110316, 'x': 38, 'y': 103}, {'station_cd': 1110317, 'x': 41, 'y': 105}, {'station_cd': 1110318, 'x': 45, 'y': 106}, {'station_cd': 1110319, 'x': 47, 'y': 105}, {'station_cd': 1110320, 'x': 48, 'y': 103}, {'station_cd': 1110321, 'x': 51, 'y': 101}, {'station_cd': 1110322, 'x': 52, 'y': 100}, {'station_cd': 1110323, 'x': 53, 'y': 99}, {'station_cd': 1110324, 'x': 59, 'y': 96}, {'station_cd': 1110325, 'x': 62, 'y': 95}, {'station_cd': 1110326, 'x': 67, 'y': 92}, {'station_cd': 1110327, 'x': 71, 'y': 89}, {'station_cd': 1110328, 'x': 75, 'y': 83}, {'station_cd': 1110329, 'x': 78, 'y': 79}, {'station_cd': 1110330, 'x': 79, 'y': 75}, {'station_cd': 1110331, 'x': 80, 'y': 71}, {'station_cd': 1110332, 'x': 82, 'y': 64}, {'station_cd': 1110333, 'x': 83, 'y': 60}, {'station_cd': 1110334, 'x': 84, 'y': 56}, {'station_cd': 1110335, 'x': 83, 'y': 49}, {'station_cd': 1110336, 'x': 86, 'y': 41}, {'station_cd': 1110337, 'x': 89, 'y': 34}, {'station_cd': 1110338, 'x': 95, 'y': 31}, {'station_cd': 1110339, 'x': 103, 'y': 30}, {'station_cd': 1110340, 'x': 115, 'y': 27}, {'station_cd': 1110341, 'x': 119, 'y': 24}, {'station_cd': 1110342, 'x': 122, 'y': 27}]"
11104,JR室蘭本線(長万部・室蘭～苫小牧),"[(1110401, '長万部'), (1110402, '静狩'), (1110403, '小幌'), (1110404, '礼文'), (1110405, '大岸'), (1110406, '豊浦'), (1110407, '洞爺'), (1110408, '有珠'), (1110409, '長和'), (1110410, '伊達紋別'), (1110411, '北舟岡'), (1110412, '稀府'), (1110413, '黄金'), (1110414, '崎守'), (1110415, '本輪西'), (1110416, '室蘭'), (1110417, '母恋'), (1110418, '御崎'), (1110419, '輪西'), (1110420, '東室蘭'), (1110421, '鷲別'), (1110422, '幌別'), (1110423, '富浦'), (1110424, '登別'), (1110425, '虎杖浜'), (1110426, '竹浦'), (1110427, '北吉原'), (1110428, '萩野'), (1110429, '白老'), (1110430, '社台'), (1110431, '錦岡'), (1110432, '糸井'), (1110433, '青葉'), (1110434, '苫小牧')]","438.410,109.875,465.523,121.516","[{'station_cd': 1110401, 'x': 6, 'y': 56}, {'station_cd': 1110402, 'x': 15, 'y': 47}, {'station_cd': 1110403, 'x': 22, 'y': 47}, {'station_cd': 1110404, 'x': 27, 'y': 48}, {'station_cd': 1110405, 'x': 31, 'y': 48}, {'station_cd': 1110406, 'x': 39, 'y': 49}, {'station_cd': 1110407, 'x': 43, 'y': 53}, {'station_cd': 1110408, 'x': 46, 'y': 58}, {'station_cd': 1110409, 'x': 50, 'y': 62}, {'station_cd': 1110410, 'x': 52, 'y': 64}, {'station_cd': 1110411, 'x': 54, 'y': 67}, {'station_cd': 1110412, 'x': 56, 'y': 70}, {'station_cd': 1110413, 'x': 56, 'y': 76}, {'station_cd': 1110414, 'x': 58, 'y': 77}, {'station_cd': 1110415, 'x': 63, 'y': 80}, {'station_cd': 1110416, 'x': 63, 'y': 85}, {'station_cd': 1110417, 'x': 64, 'y': 85}, {'station_cd': 1110418, 'x': 64, 'y': 84}, {'station_cd': 1110419, 'x': 65, 'y': 83}, {'station_cd': 1110420, 'x': 67, 'y': 81}, {'station_cd': 1110421, 'x': 69, 'y': 80}, {'station_cd': 1110422, 'x': 75, 'y': 74}, {'station_cd': 1110423, 'x': 80, 'y': 70}, {'station_cd': 1110424, 'x': 82, 'y': 69}, {'station_cd': 1110425, 'x': 86, 'y': 67}, {'station_cd': 1110426, 'x': 90, 'y': 64}, {'station_cd': 1110427, 'x': 92, 'y': 62}, {'station_cd': 1110428, 'x': 94, 'y': 60}, {'station_cd': 1110429, 'x': 100, 'y': 56}, {'station_cd': 1110430, 'x': 105, 'y': 54}, {'station_cd': 1110431, 'x': 112, 'y': 51}, {'station_cd': 1110432, 'x': 117, 'y': 49}, {'station_cd': 1110433, 'x': 119, 'y': 48}, {'station_cd': 1110434, 'x': 122, 'y': 47}]"
11105,JR室蘭本線(苫小牧～岩見沢),"[(1110501, '苫小牧'), (1110502, '沼ノ端'), (1110503, '遠浅'), (1110504, '早来'), (1110505, '安平'), (1110506, '追分'), (1110507, '三川'), (1110508, '古山'), (1110509, '由仁'), (1110510, '栗山'), (1110511, '栗丘'), (1110512, '栗沢'), (1110513, '志文'), (1110514, '岩見沢')]","461.737,95.530,471.737,113.128","[{'station_cd': 1110501, 'x': 46, 'y': 120}, {'station_cd': 1110502, 'x': 60, 'y': 114}, {'station_cd': 1110503, 'x': 72, 'y': 103}, {'station_cd': 1110504, 'x': 78, 'y': 97}, {'station_cd': 1110505, 'x': 80, 'y': 87}, {'station_cd': 1110506, 'x': 78, 'y': 75}, {'station_cd': 1110507, 'x': 77, 'y': 60}, {'station_cd': 1110508, 'x': 76, 'y': 54}, {'station_cd': 1110509, 'x': 75, 'y': 46}, {'station_cd': 1110510, 'x': 74, 'y': 37}, {'station_cd': 1110511, 'x': 70, 'y': 31}, {'station_cd': 1110512, 'x': 69, 'y': 24}, {'station_cd': 1110513, 'x': 70, 'y': 16}, {'station_cd': 1110514, 'x': 72, 'y': 7}]"
11106,JR根室本線(滝川～富良野),"[(1110601, '滝川'), (1110602, '東滝川'), (1110603, '赤平'), (1110604, '茂尻'), (1110605, '平岸'), (1110606, '芦別'), (1110607, '上芦別'), (1110608, '野花南'), (1110609, '島ノ下'), (1110610, '富良野'), (1110611, '布部'), (1110612, '山部'), (1110613, '下金山'), (1110614, '金山'), (1110615, '東鹿越'), (1110616, '幾寅'), (1110617, '落合'), (1110618, '新得')]","469.681,85.706,490.507,102.097","[{'station_cd': 1110601, 'x': 7, 'y': 21}, {'station_cd': 1110602, 'x': 17, 'y': 19}, {'station_cd': 1110603, 'x': 26, 'y': 23}, {'station_cd': 1110604, 'x': 30, 'y': 26}, {'station_cd': 1110605, 'x': 35, 'y': 26}, {'station_cd': 1110606, 'x': 42, 'y': 30}, {'station_cd': 1110607, 'x': 45, 'y': 35}, {'station_cd': 1110608, 'x': 52, 'y': 38}, {'station_cd': 1110609, 'x': 62, 'y': 56}, {'station_cd': 1110610, 'x': 67, 'y': 61}, {'station_cd': 1110611, 'x': 68, 'y': 70}, {'station_cd': 1110612, 'x': 66, 'y': 78}, {'station_cd': 1110613, 'x': 70, 'y': 87}, {'station_cd': 1110614, 'x': 69, 'y': 97}, {'station_cd': 1110615, 'x': 83, 'y': 93}, {'station_cd': 1110616, 'x': 88, 'y': 94}, {'station_cd': 1110617, 'x': 101, 'y': 101}, {'station_cd': 1110618, 'x': 120, 'y': 110}]"
11107,JR根室本線(新得～釧路),"[(1110701, '新得'), (1110702, '十勝清水'), (1110703, '羽帯'), (1110704, '御影'), (1110705, '芽室'), (1110706, '大成'), (1110707, '西帯広'), (1110708, '柏林台'), (1110709, '帯広'), (1110710, '札内'), (1110711, '稲士別'), (1110712, '幕別'), (1110713, '利別'), (1110714, '池田'), (1110715, '十弗'), (1110716, '豊頃'), (1110717, '新吉野'), (1110718, '浦幌'), (1110719, '上厚内'), (1110720, '厚内'), (1110721, '直別'), (1110722, '尺別'), (1110723, '音別'), (1110724, '古瀬'), (1110725, '白糠'), (1110726, '西庶路'), (1110727, '庶路'), (1110728, '大楽毛'), (1110729, '新大楽毛'), (1110730, '新富士'), (1110731, '釧路')]","487.551,100.826,521.873,112.391","[{'station_cd': 1110701, 'x': 6, 'y': 44}, {'station_cd': 1110702, 'x': 10, 'y': 52}, {'station_cd': 1110703, 'x': 12, 'y': 58}, {'station_cd': 1110704, 'x': 14, 'y': 59}, {'station_cd': 1110705, 'x': 22, 'y': 63}, {'station_cd': 1110706, 'x': 24, 'y': 63}, {'station_cd': 1110707, 'x': 28, 'y': 62}, {'station_cd': 1110708, 'x': 31, 'y': 62}, {'station_cd': 1110709, 'x': 34, 'y': 63}, {'station_cd': 1110710, 'x': 38, 'y': 64}, {'station_cd': 1110711, 'x': 41, 'y': 65}, {'station_cd': 1110712, 'x': 45, 'y': 65}, {'station_cd': 1110713, 'x': 50, 'y': 63}, {'station_cd': 1110714, 'x': 52, 'y': 64}, {'station_cd': 1110715, 'x': 56, 'y': 71}, {'station_cd': 1110716, 'x': 59, 'y': 75}, {'station_cd': 1110717, 'x': 64, 'y': 80}, {'station_cd': 1110718, 'x': 67, 'y': 77}, {'station_cd': 1110719, 'x': 74, 'y': 75}, {'station_cd': 1110720, 'x': 79, 'y': 78}, {'station_cd': 1110721, 'x': 83, 'y': 73}, {'station_cd': 1110722, 'x': 86, 'y': 72}, {'station_cd': 1110723, 'x': 88, 'y': 70}, {'station_cd': 1110724, 'x': 94, 'y': 64}, {'station_cd': 1110725, 'x': 99, 'y': 64}, {'station_cd': 1110726, 'x': 103, 'y': 62}, {'station_cd': 1110727, 'x': 105, 'y': 61}, {'station_cd': 1110728, 'x': 114, 'y': 59}, {'station_cd': 1110729, 'x': 116, 'y': 59}, {'station_cd': 1110730, 'x': 120, 'y': 60}, {'station_cd': 1110731, 'x': 122, 'y': 62}]"
11108,花咲線,"[(1110801, '釧路'), (1110802, '東釧路'), (1110803, '武佐'), (1110804, '別保'), (1110805, '上尾幌'), (1110806, '尾幌'), (1110807, '門静'), (1110808, '厚岸'), (1110809, '糸魚沢'), (1110810, '茶内'), (1110811, '浜中'), (1110812, '姉別'), (1110813, '厚床'), (1110814, '初田牛'), (1110815, '別当賀'), (1110816, '落石'), (1110817, '昆布盛'), (1110818, '西和田'), (1110819, '花咲'), (1110820, '東根室'), (1110821, '根室')]","519.035,96.063,546.013,108.121","[{'station_cd': 1110801, 'x': 6, 'y': 82}, {'station_cd': 1110802, 'x': 9, 'y': 82}, {'station_cd': 1110803, 'x': 10, 'y': 83}, {'station_cd': 1110804, 'x': 14, 'y': 82}, {'station_cd': 1110805, 'x': 28, 'y': 78}, {'station_cd': 1110806, 'x': 36, 'y': 81}, {'station_cd': 1110807, 'x': 44, 'y': 76}, {'station_cd': 1110808, 'x': 50, 'y': 77}, {'station_cd': 1110809, 'x': 58, 'y': 71}, {'station_cd': 1110810, 'x': 68, 'y': 68}, {'station_cd': 1110811, 'x': 74, 'y': 65}, {'station_cd': 1110812, 'x': 84, 'y': 60}, {'station_cd': 1110813, 'x': 89, 'y': 56}, {'station_cd': 1110814, 'x': 96, 'y': 60}, {'station_cd': 1110815, 'x': 105, 'y': 59}, {'station_cd': 1110816, 'x': 114, 'y': 62}, {'station_cd': 1110817, 'x': 117, 'y': 58}, {'station_cd': 1110818, 'x': 117, 'y': 53}, {'station_cd': 1110819, 'x': 120, 'y': 50}, {'station_cd': 1110820, 'x': 122, 'y': 46}, {'station_cd': 1110821, 'x': 121, 'y': 46}]"
11109,JR千歳線,"[(1110901, '苫小牧'), (1110902, '沼ノ端'), (1110903, '植苗'), (1110904, '美々'), (1110905, '新千歳空港'), (1110906, '南千歳'), (1110907, '千歳'), (1110908, '長都'), (1110909, 'サッポロビール庭園'), (1110910, '恵庭'), (1110911, '恵み野'), (1110912, '島松'), (1110913, '北広島'), (1110914, '上野幌'), (1110915, '新札幌'), (1110916, '平和'), (1110917, '白石'), (1110918, '苗穂'), (1110919, '札幌')]","458.334,99.151,468.334,112.830","[{'station_cd': 1110901, 'x': 73, 'y': 120}, {'station_cd': 1110902, 'x': 91, 'y': 113}, {'station_cd': 1110903, 'x': 99, 'y': 103}, {'station_cd': 1110904, 'x': 95, 'y': 86}, {'station_cd': 1110905, 'x': 89, 'y': 83}, {'station_cd': 1110906, 'x': 89, 'y': 78}, {'station_cd': 1110907, 'x': 84, 'y': 72}, {'station_cd': 1110908, 'x': 79, 'y': 66}, {'station_cd': 1110909, 'x': 76, 'y': 61}, {'station_cd': 1110910, 'x': 72, 'y': 57}, {'station_cd': 1110911, 'x': 70, 'y': 52}, {'station_cd': 1110912, 'x': 70, 'y': 47}, {'station_cd': 1110913, 'x': 68, 'y': 32}, {'station_cd': 1110914, 'x': 54, 'y': 21}, {'station_cd': 1110915, 'x': 52, 'y': 15}, {'station_cd': 1110916, 'x': 45, 'y': 13}, {'station_cd': 1110917, 'x': 41, 'y': 10}, {'station_cd': 1110918, 'x': 33, 'y': 6}, {'station_cd': 1110919, 'x': 29, 'y': 6}]"
11110,JR石勝線,"[(1111001, '南千歳'), (1111002, '追分'), (1111003, '東追分'), (1111004, '川端'), (1111005, '滝ノ上'), (1111006, '十三里'), (1111007, '新夕張'), (1111008, '沼ノ沢'), (1111009, '南清水沢'), (1111010, '清水沢'), (1111011, '鹿ノ谷'), (1111012, '夕張'), (1111013, '占冠'), (1111014, 'トマム'), (1111015, '新得')]","464.792,99.359,490.449,109.440","[{'station_cd': 1111001, 'x': 6, 'y': 79}, {'station_cd': 1111002, 'x': 20, 'y': 71}, {'station_cd': 1111003, 'x': 22, 'y': 67}, {'station_cd': 1111004, 'x': 28, 'y': 66}, {'station_cd': 1111005, 'x': 36, 'y': 67}, {'station_cd': 1111006, 'x': 41, 'y': 67}, {'station_cd': 1111007, 'x': 42, 'y': 64}, {'station_cd': 1111008, 'x': 42, 'y': 61}, {'station_cd': 1111009, 'x': 39, 'y': 57}, {'station_cd': 1111010, 'x': 40, 'y': 55}, {'station_cd': 1111011, 'x': 35, 'y': 49}, {'station_cd': 1111012, 'x': 36, 'y': 47}, {'station_cd': 1111013, 'x': 79, 'y': 58}, {'station_cd': 1111014, 'x': 100, 'y': 51}, {'station_cd': 1111015, 'x': 122, 'y': 49}]"
